date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,1022.0,1038.0,1012.4,1022.3,461494
2023-12-08 00:00:00+05:30,1025.0,1033.0,1003.2,1019.0,441145
2023-12-11 00:00:00+05:30,1021.0,1035.0,1019.85,1031.45,187137
2023-12-12 00:00:00+05:30,1036.8,1045.0,1028.7,1039.75,426127
2023-12-13 00:00:00+05:30,1049.8,1056.2,1035.1,1048.75,646039
2023-12-14 00:00:00+05:30,1056.7,1058.2,1036.8,1041.45,440892
2023-12-15 00:00:00+05:30,1044.05,1048.75,1029.75,1035.05,356694
2023-12-18 00:00:00+05:30,1038.8,1038.8,1003.0,1012.65,840226
2023-12-19 00:00:00+05:30,1016.55,1034.5,1010.0,1026.35,459226
2023-12-20 00:00:00+05:30,1029.95,1034.0,990.05,996.5,719452
2023-12-21 00:00:00+05:30,992.0,996.5,970.3,990.1,418323
2023-12-22 00:00:00+05:30,997.55,1002.95,974.35,979.75,255974
2023-12-26 00:00:00+05:30,979.8,996.5,977.25,987.8,318005
2023-12-27 00:00:00+05:30,1002.0,1037.4,1002.0,1016.0,1923581
2023-12-28 00:00:00+05:30,1015.0,1028.0,1009.25,1015.9,536429
2023-12-29 00:00:00+05:30,1018.2,1023.3,1006.0,1020.35,186571
2024-01-01 00:00:00+05:30,1022.0,1031.0,1010.0,1014.35,373757
2024-01-02 00:00:00+05:30,1010.0,1020.8,991.45,1018.75,464522
2024-01-03 00:00:00+05:30,1018.95,1023.7,1002.45,1005.65,439029
2024-01-04 00:00:00+05:30,1008.55,1016.9,1001.15,1012.9,622387
2024-01-05 00:00:00+05:30,1019.9,1030.7,1011.5,1028.1,381271
2024-01-08 00:00:00+05:30,1030.25,1035.95,993.2,996.9,423858
2024-01-09 00:00:00+05:30,1005.8,1006.4,987.0,993.1,325969
2024-01-10 00:00:00+05:30,986.9,990.35,971.5,974.1,534291
2024-01-11 00:00:00+05:30,977.05,995.3,971.5,988.8,823485
2024-01-12 00:00:00+05:30,989.5,997.8,982.55,993.65,388409
2024-01-15 00:00:00+05:30,999.8,999.8,979.5,981.15,730778
2024-01-16 00:00:00+05:30,981.5,993.85,978.85,989.25,323198
2024-01-17 00:00:00+05:30,985.0,986.85,949.0,951.65,567514
2024-01-18 00:00:00+05:30,956.2,957.85,936.0,950.85,355459
2024-01-19 00:00:00+05:30,957.0,965.25,952.2,957.6,135034
2024-01-20 00:00:00+05:30,962.95,963.0,954.8,956.85,67880
2024-01-23 00:00:00+05:30,956.85,966.9,937.6,940.65,334434
2024-01-24 00:00:00+05:30,940.85,965.75,930.65,962.95,192399
2024-01-25 00:00:00+05:30,967.0,975.0,952.2,968.85,272987
2024-01-29 00:00:00+05:30,976.6,990.0,971.4,985.55,373303
2024-01-30 00:00:00+05:30,993.0,995.0,980.1,985.15,399357
2024-01-31 00:00:00+05:30,985.15,1020.0,980.15,1018.2,460907
2024-02-01 00:00:00+05:30,1021.0,1024.95,982.25,987.05,259628
2024-02-02 00:00:00+05:30,992.5,997.15,986.5,993.05,136174
2024-02-05 00:00:00+05:30,984.5,997.3,975.4,979.25,135632
2024-02-06 00:00:00+05:30,987.1,1001.05,983.5,989.7,233434
2024-02-07 00:00:00+05:30,997.5,1007.0,989.0,995.0,306796
2024-02-08 00:00:00+05:30,1001.05,1003.0,964.5,974.35,292582
2024-02-09 00:00:00+05:30,938.1,938.1,893.55,901.75,3078842
2024-02-12 00:00:00+05:30,901.75,911.55,877.15,882.05,1170750
2024-02-13 00:00:00+05:30,882.1,883.85,859.45,868.3,612727
2024-02-14 00:00:00+05:30,860.7,873.55,848.0,859.35,545969
2024-02-15 00:00:00+05:30,865.95,869.9,857.55,866.0,535822
2024-02-16 00:00:00+05:30,872.95,879.0,863.4,868.65,321741
2024-02-19 00:00:00+05:30,875.0,885.0,870.05,880.5,356581
2024-02-20 00:00:00+05:30,884.9,896.8,875.1,883.2,424738
2024-02-21 00:00:00+05:30,889.95,889.95,865.0,869.05,341049
2024-02-22 00:00:00+05:30,876.0,876.1,861.75,869.6,232070
2024-02-23 00:00:00+05:30,873.85,880.15,865.8,867.35,284027
2024-02-26 00:00:00+05:30,869.95,878.65,869.05,872.05,211041
2024-02-27 00:00:00+05:30,873.2,876.85,865.1,869.9,727546
2024-02-28 00:00:00+05:30,869.9,870.0,835.5,840.65,444020
2024-02-29 00:00:00+05:30,845.85,845.85,828.2,835.25,1401342
2024-03-01 00:00:00+05:30,841.65,852.3,835.0,840.95,401744
2024-03-02 00:00:00+05:30,847.4,854.5,838.0,840.1,68538
2024-03-04 00:00:00+05:30,848.35,850.85,837.95,848.2,387280
2024-03-05 00:00:00+05:30,853.9,853.9,818.25,823.8,1104181
2024-03-06 00:00:00+05:30,824.0,831.35,796.65,802.1,1845179
2024-03-07 00:00:00+05:30,809.35,813.4,803.75,810.8,261078
2024-03-11 00:00:00+05:30,812.05,818.7,801.35,810.55,936556
2024-03-12 00:00:00+05:30,816.95,816.95,804.1,808.5,533139
2024-03-13 00:00:00+05:30,810.0,810.0,781.85,790.25,487473
2024-03-14 00:00:00+05:30,790.0,809.0,782.3,798.75,329634
2024-03-15 00:00:00+05:30,802.5,809.0,792.7,806.75,261313
2024-03-18 00:00:00+05:30,806.75,808.85,798.1,803.8,151464
2024-03-19 00:00:00+05:30,803.5,803.8,787.1,797.35,237346
2024-03-20 00:00:00+05:30,798.0,801.0,789.3,799.5,165646
2024-03-21 00:00:00+05:30,804.0,815.95,801.7,813.85,589901
2024-03-22 00:00:00+05:30,813.85,821.6,798.3,806.45,2114154
2024-03-26 00:00:00+05:30,805.0,811.55,800.3,808.9,1107288
2024-03-27 00:00:00+05:30,809.0,823.55,806.3,815.7,1122492
2024-03-28 00:00:00+05:30,821.95,821.95,805.0,810.55,1545414
2024-04-01 00:00:00+05:30,830.0,848.0,821.4,845.95,2033953
2024-04-02 00:00:00+05:30,853.0,868.0,831.0,860.5,2390351
2024-04-03 00:00:00+05:30,866.0,866.0,847.0,855.65,875270
2024-04-04 00:00:00+05:30,855.75,860.55,837.0,839.85,640002
2024-04-05 00:00:00+05:30,844.9,846.95,828.05,839.55,850132
2024-04-08 00:00:00+05:30,844.9,854.7,834.55,848.9,604026
2024-04-09 00:00:00+05:30,854.7,855.0,837.15,840.35,484261
2024-04-10 00:00:00+05:30,843.15,851.95,838.25,848.55,252971
2024-04-12 00:00:00+05:30,848.55,852.0,835.0,837.25,360093
2024-04-15 00:00:00+05:30,820.1,830.0,807.45,809.2,439518
2024-04-16 00:00:00+05:30,807.05,814.4,799.7,807.3,618095
2024-04-18 00:00:00+05:30,810.0,815.0,794.4,799.45,482316
2024-04-19 00:00:00+05:30,795.6,802.1,780.0,800.15,360405
2024-04-22 00:00:00+05:30,809.95,809.95,794.4,796.15,430484
2024-04-23 00:00:00+05:30,802.0,816.9,792.05,809.15,638612
2024-04-24 00:00:00+05:30,814.0,816.4,808.95,810.95,239658
2024-04-25 00:00:00+05:30,807.0,809.4,778.1,789.2,1032067
2024-04-26 00:00:00+05:30,795.0,804.4,790.75,797.6,316854
2024-04-29 00:00:00+05:30,800.0,806.0,794.95,796.9,398195
2024-04-30 00:00:00+05:30,800.05,804.0,792.0,794.6,266972
2024-05-02 00:00:00+05:30,799.95,799.95,770.0,771.35,1005128
2024-05-03 00:00:00+05:30,778.15,789.95,770.65,772.3,621411
2024-05-06 00:00:00+05:30,778.0,779.95,765.25,767.75,271895
2024-05-07 00:00:00+05:30,767.75,771.45,755.0,756.85,879592
2024-05-08 00:00:00+05:30,757.0,770.9,752.0,764.25,654063
2024-05-09 00:00:00+05:30,764.0,764.85,745.8,748.6,301268
2024-05-10 00:00:00+05:30,750.0,762.55,742.75,760.2,389425
2024-05-13 00:00:00+05:30,762.15,764.45,748.2,762.4,310979
2024-05-14 00:00:00+05:30,765.95,772.0,760.25,769.65,313275
2024-05-15 00:00:00+05:30,772.95,774.15,760.0,763.4,428039
2024-05-16 00:00:00+05:30,761.8,772.0,761.8,769.35,165022
2024-05-17 00:00:00+05:30,771.9,779.0,767.75,777.1,323380
2024-05-18 00:00:00+05:30,783.2,785.35,771.05,781.15,29883
2024-05-21 00:00:00+05:30,781.15,784.15,770.5,771.75,999060
2024-05-22 00:00:00+05:30,777.0,780.0,766.8,774.15,554298
2024-05-23 00:00:00+05:30,790.0,799.7,772.05,788.4,2072123
2024-05-24 00:00:00+05:30,785.0,798.05,774.1,778.1,1697769
2024-05-27 00:00:00+05:30,784.6,784.6,766.55,769.05,869010
2024-05-28 00:00:00+05:30,770.55,774.0,760.3,762.85,282283
2024-05-29 00:00:00+05:30,762.9,763.8,748.25,752.35,488802
2024-05-30 00:00:00+05:30,752.4,753.9,742.8,745.45,435189
2024-05-31 00:00:00+05:30,748.95,750.0,738.15,741.85,1297510
2024-06-03 00:00:00+05:30,775.4,782.4,756.1,773.35,1118819
2024-06-04 00:00:00+05:30,775.0,781.0,700.0,730.9,1520153
2024-06-05 00:00:00+05:30,725.05,768.3,725.05,761.55,510343
2024-06-06 00:00:00+05:30,764.0,800.5,760.0,786.7,2293421
2024-06-07 00:00:00+05:30,792.85,834.7,783.8,831.8,3558873
2024-06-10 00:00:00+05:30,837.0,879.9,830.55,876.75,4673073
2024-06-11 00:00:00+05:30,886.45,887.6,845.75,857.4,3145688
2024-06-12 00:00:00+05:30,858.9,868.35,849.05,859.75,749087
2024-06-13 00:00:00+05:30,862.0,875.0,846.0,866.25,2282389
2024-06-14 00:00:00+05:30,858.0,878.3,848.0,869.35,1186767
2024-06-18 00:00:00+05:30,874.0,880.35,858.55,875.3,743587
2024-06-19 00:00:00+05:30,876.0,880.05,856.55,859.8,658760
2024-06-20 00:00:00+05:30,862.0,875.0,852.0,867.9,545610
2024-06-21 00:00:00+05:30,868.05,874.15,841.0,845.5,710220
2024-06-24 00:00:00+05:30,844.0,860.95,831.0,855.2,637143
2024-06-25 00:00:00+05:30,857.0,858.9,842.1,851.25,640092
2024-06-26 00:00:00+05:30,852.2,892.0,849.95,865.45,4577235
2024-06-27 00:00:00+05:30,875.0,893.85,835.0,838.0,5641889
2024-06-28 00:00:00+05:30,847.0,850.9,833.25,836.45,1768915
2024-07-01 00:00:00+05:30,840.0,860.0,837.85,857.25,1359729
2024-07-02 00:00:00+05:30,858.15,869.65,838.3,845.2,868982
2024-07-03 00:00:00+05:30,846.95,850.4,835.0,840.1,1081829
2024-07-04 00:00:00+05:30,839.0,839.0,816.2,819.3,1439295
2024-07-05 00:00:00+05:30,810.5,817.7,801.0,808.15,2659493
2024-07-08 00:00:00+05:30,809.0,811.95,790.5,794.8,1636310
2024-07-09 00:00:00+05:30,801.0,810.0,787.95,807.25,1571146
2024-07-10 00:00:00+05:30,812.45,812.45,781.0,801.75,690821
2024-07-11 00:00:00+05:30,808.0,810.6,795.3,796.8,481386
2024-07-12 00:00:00+05:30,797.9,809.0,784.85,793.9,1201612
2024-07-15 00:00:00+05:30,796.95,801.95,790.65,795.55,1592604
2024-07-16 00:00:00+05:30,797.0,809.35,791.1,794.45,1111488
2024-07-18 00:00:00+05:30,797.85,797.85,776.35,782.85,1128003
2024-07-19 00:00:00+05:30,782.85,785.0,767.0,777.8,1199841
2024-07-22 00:00:00+05:30,777.0,784.8,765.0,780.15,678885
2024-07-23 00:00:00+05:30,781.0,798.95,765.4,795.15,2043929
2024-07-24 00:00:00+05:30,794.95,794.95,785.0,788.4,696697
2024-07-25 00:00:00+05:30,788.0,810.0,775.3,800.85,952357
2024-07-26 00:00:00+05:30,788.05,830.45,785.0,828.15,3530408
2024-07-29 00:00:00+05:30,835.6,835.6,815.55,818.45,559418
2024-07-30 00:00:00+05:30,816.0,827.5,814.05,823.7,1232735
2024-07-31 00:00:00+05:30,825.0,833.95,822.8,826.05,668598
2024-08-01 00:00:00+05:30,829.0,830.8,818.8,825.1,742587
2024-08-02 00:00:00+05:30,813.0,840.9,810.4,827.75,1755087
2024-08-05 00:00:00+05:30,811.2,823.6,800.0,806.65,662469
2024-08-06 00:00:00+05:30,807.95,826.15,804.75,808.8,509148
2024-08-07 00:00:00+05:30,814.95,827.25,814.95,821.45,358622
2024-08-08 00:00:00+05:30,815.0,820.0,792.15,795.0,555076
2024-08-09 00:00:00+05:30,795.95,804.8,795.3,799.75,207552
2024-08-12 00:00:00+05:30,791.0,804.8,791.0,801.25,222982
2024-08-13 00:00:00+05:30,795.55,803.85,786.45,789.25,322963
2024-08-14 00:00:00+05:30,786.25,792.7,777.8,784.05,210704
2024-08-16 00:00:00+05:30,782.0,806.5,782.0,804.95,257509
2024-08-19 00:00:00+05:30,806.5,828.6,806.5,812.95,929419
2024-08-20 00:00:00+05:30,821.5,824.0,805.55,809.8,805790
2024-08-21 00:00:00+05:30,810.0,816.0,807.05,813.05,478311
2024-08-22 00:00:00+05:30,813.1,838.5,812.2,832.3,2262459
2024-08-23 00:00:00+05:30,834.4,838.25,817.05,819.8,3791278
2024-08-26 00:00:00+05:30,819.8,823.5,814.35,822.2,1089283
2024-08-27 00:00:00+05:30,826.0,829.2,816.0,821.75,352159
2024-08-28 00:00:00+05:30,822.8,833.4,818.45,821.9,378897
2024-08-29 00:00:00+05:30,821.9,825.95,815.4,820.75,504577
2024-08-30 00:00:00+05:30,821.0,840.05,820.55,831.25,619316
2024-09-02 00:00:00+05:30,831.9,844.4,827.15,831.8,669142
2024-09-03 00:00:00+05:30,830.4,838.65,830.4,833.2,258431
2024-09-04 00:00:00+05:30,827.4,842.9,826.7,839.25,521205
2024-09-05 00:00:00+05:30,847.0,852.75,839.05,848.3,1467926
2024-09-06 00:00:00+05:30,848.9,851.15,824.35,829.9,573579
2024-09-09 00:00:00+05:30,829.0,837.75,817.8,835.7,383435
2024-09-10 00:00:00+05:30,831.7,846.95,831.7,842.7,279638
2024-09-11 00:00:00+05:30,842.95,850.0,833.85,837.45,573275
2024-09-12 00:00:00+05:30,844.5,844.5,832.55,841.15,649344
2024-09-13 00:00:00+05:30,844.5,855.55,842.1,850.2,437354
2024-09-16 00:00:00+05:30,854.5,857.1,846.1,851.1,1222604
2024-09-17 00:00:00+05:30,854.5,855.55,845.15,850.75,234001
2024-09-18 00:00:00+05:30,852.45,852.45,836.5,840.75,246375
2024-09-19 00:00:00+05:30,835.0,845.6,817.0,828.95,370095
2024-09-20 00:00:00+05:30,828.95,841.45,827.55,835.35,401773
2024-09-23 00:00:00+05:30,840.0,854.15,837.0,851.45,359706
2024-09-24 00:00:00+05:30,849.0,857.75,842.25,851.05,476939
2024-09-25 00:00:00+05:30,848.0,868.5,845.25,855.55,1132803
2024-09-26 00:00:00+05:30,858.0,864.85,844.15,861.0,514998
2024-09-27 00:00:00+05:30,856.0,877.0,853.55,863.35,1229146
2024-09-30 00:00:00+05:30,861.35,869.0,855.0,867.0,328919
2024-10-01 00:00:00+05:30,867.0,884.0,866.3,877.9,480399
2024-10-03 00:00:00+05:30,876.8,886.8,869.8,872.95,843832
