date,open,high,low,close,volume
2023-12-07 00:00:00+05:30,1061.95,1073.7,1057.5,1066.05,832078
2023-12-08 00:00:00+05:30,1069.0,1073.0,1032.75,1045.25,908224
2023-12-11 00:00:00+05:30,1043.0,1052.0,1041.3,1047.6,569735
2023-12-12 00:00:00+05:30,1052.0,1056.9,1043.2,1050.0,697698
2023-12-13 00:00:00+05:30,1056.0,1074.4,1048.25,1072.6,1473906
2023-12-14 00:00:00+05:30,1083.85,1089.9,1076.55,1084.8,2077791
2023-12-15 00:00:00+05:30,1092.0,1095.0,1078.05,1083.25,1322021
2023-12-18 00:00:00+05:30,1079.3,1115.75,1061.3,1105.15,1780071
2023-12-19 00:00:00+05:30,1111.0,1112.95,1083.05,1086.25,1062384
2023-12-20 00:00:00+05:30,1090.0,1095.0,1050.0,1059.95,1312725
2023-12-21 00:00:00+05:30,1050.0,1067.8,1047.55,1059.2,1214989
2023-12-22 00:00:00+05:30,1061.0,1084.5,1061.0,1076.0,624137
2023-12-26 00:00:00+05:30,1097.3,1108.9,1072.2,1077.05,784200
2023-12-27 00:00:00+05:30,1078.95,1090.05,1075.35,1083.2,502279
2023-12-28 00:00:00+05:30,1086.4,1103.8,1083.0,1093.8,685526
2023-12-29 00:00:00+05:30,1093.8,1122.0,1085.4,1117.75,1411353
2024-01-01 00:00:00+05:30,1124.0,1125.0,1101.85,1107.2,563368
2024-01-02 00:00:00+05:30,1110.9,1113.85,1078.8,1093.9,686566
2024-01-03 00:00:00+05:30,1097.2,1105.1,1085.05,1098.2,444285
2024-01-04 00:00:00+05:30,1102.0,1114.55,1100.6,1108.6,512069
2024-01-05 00:00:00+05:30,1110.0,1117.35,1093.2,1101.05,616100
2024-01-08 00:00:00+05:30,1110.05,1127.15,1095.0,1097.8,1238667
2024-01-09 00:00:00+05:30,1097.0,1110.35,1080.1,1096.35,922305
2024-01-10 00:00:00+05:30,1102.9,1129.9,1095.8,1117.35,1348846
2024-01-11 00:00:00+05:30,1119.0,1132.0,1108.3,1117.9,820469
2024-01-12 00:00:00+05:30,1119.5,1119.5,1101.35,1111.5,1306539
2024-01-15 00:00:00+05:30,1112.25,1112.9,1085.2,1105.85,950039
2024-01-16 00:00:00+05:30,1105.0,1123.6,1101.1,1110.0,1509427
2024-01-17 00:00:00+05:30,1101.0,1114.5,1086.35,1095.45,647461
2024-01-18 00:00:00+05:30,1087.0,1092.3,1061.3,1069.45,927129
2024-01-19 00:00:00+05:30,1080.0,1088.4,1063.85,1082.6,843847
2024-01-20 00:00:00+05:30,1080.0,1112.0,1080.0,1108.75,424326
2024-01-23 00:00:00+05:30,1113.0,1129.0,1095.1,1108.05,1288819
2024-01-24 00:00:00+05:30,1145.05,1146.0,1092.25,1112.2,2174641
2024-01-25 00:00:00+05:30,1112.85,1112.95,1077.2,1096.0,928881
2024-01-29 00:00:00+05:30,1100.0,1120.05,1089.55,1093.9,786771
2024-01-30 00:00:00+05:30,1098.05,1102.55,1078.0,1080.4,795246
2024-01-31 00:00:00+05:30,1082.0,1092.2,1074.15,1089.75,760259
2024-02-01 00:00:00+05:30,1090.0,1096.35,1077.7,1080.05,548008
2024-02-02 00:00:00+05:30,1090.95,1097.35,1080.6,1086.05,510352
2024-02-05 00:00:00+05:30,1089.9,1093.95,1058.95,1062.9,993598
2024-02-06 00:00:00+05:30,1074.0,1076.95,1054.7,1072.0,778083
2024-02-07 00:00:00+05:30,1076.5,1085.15,1065.1,1081.65,522858
2024-02-08 00:00:00+05:30,1087.0,1090.0,1076.05,1081.05,1155336
2024-02-09 00:00:00+05:30,1075.05,1113.0,1071.05,1111.5,1438336
2024-02-12 00:00:00+05:30,1111.5,1119.6,1090.0,1095.45,800005
2024-02-13 00:00:00+05:30,1095.0,1116.0,1075.0,1113.45,1031556
2024-02-14 00:00:00+05:30,1113.0,1132.0,1104.1,1129.1,965064
2024-02-15 00:00:00+05:30,1135.0,1148.95,1128.35,1144.05,1105029
2024-02-16 00:00:00+05:30,1140.0,1146.0,1120.9,1126.4,1186754
2024-02-19 00:00:00+05:30,1128.0,1163.9,1126.45,1156.9,855770
2024-02-20 00:00:00+05:30,1160.0,1160.0,1120.15,1143.6,884842
2024-02-21 00:00:00+05:30,1142.05,1149.0,1130.35,1141.2,859276
2024-02-22 00:00:00+05:30,1141.25,1162.65,1135.7,1159.75,573609
2024-02-23 00:00:00+05:30,1159.9,1180.0,1159.75,1166.05,874210
2024-02-26 00:00:00+05:30,1160.65,1167.0,1144.7,1146.8,436233
2024-02-27 00:00:00+05:30,1145.95,1156.95,1139.8,1153.3,1174737
2024-02-28 00:00:00+05:30,1151.15,1166.0,1133.0,1137.65,1197154
2024-02-29 00:00:00+05:30,1136.0,1173.0,1131.3,1165.85,992054
2024-03-01 00:00:00+05:30,1174.45,1182.15,1163.55,1167.25,656223
2024-03-02 00:00:00+05:30,1180.6,1180.6,1156.0,1167.0,26597
2024-03-04 00:00:00+05:30,1168.0,1171.5,1151.65,1165.8,409989
2024-03-05 00:00:00+05:30,1165.8,1176.0,1150.85,1153.6,1098233
2024-03-06 00:00:00+05:30,1145.6,1157.55,1123.05,1153.3,974502
2024-03-07 00:00:00+05:30,1150.0,1161.2,1143.3,1146.5,583929
2024-03-11 00:00:00+05:30,1146.05,1163.65,1144.15,1147.9,593445
2024-03-12 00:00:00+05:30,1141.15,1146.95,1126.95,1132.85,375718
2024-03-13 00:00:00+05:30,1132.95,1150.25,1101.4,1109.3,719249
2024-03-14 00:00:00+05:30,1109.25,1132.1,1096.1,1127.3,541801
